Symbol,Series,Security Name,Band,Remarks
ARSHIYA,BZ,ARSHIYA LIMITED,5,"GSM STAGE - 0"
ARTNIRMAN,EQ,ART NIRMAN LIMITED,5,"-"
ARVEE,BE,ARVEE LABORATORIES (INDIA) LIMITED,5,"-"
ARVINDPORT,SM,ARVIND PORT AND INFRA LIMITED,5,"-"
ASCOM,ST,ASCOM LEASING & INVESTMENTS LIMITED,5,"-"
ASLIND,ST,ASL INDUSTRIES LIMITED,5,"-"
ASPIRE,SM,ASPIRE & INNOVATIVE ADVERTISING LIMITED,5,"-"
ASTRON,EQ,ASTRON PAPER & BOARD MILL LIMITED,5,"-"
AURIGROW,BE,AURI GROW INDIA LIMITED,5,"-"
AUSL,SM,ADITYA ULTRA STEEL LIMITED,5,"-"
AUSOMENT,BE,AUSOM ENTERPRISE LIMITED,5,"-"
AVROIND,BE,AVRO INDIA LIMITED,5,"-"
AVSL,ST,AVSL INDUSTRIES LIMITED,5,"-"
AXISCADES,EQ,AXISCADES TECHNOLOGIES LIMITED,5,"-"
AXITA,BE,AXITA COTTON LIMITED,5,"-"
BAFNAPH,BE,BAFNA PHARMACEUTICALS LIMITED,5,"-"
BALCO,SM,SOLVE PLASTIC PRODUCTS LIMITED,5,"-"
BANKA,EQ,BANKA BIOLOO LIMITED,5,"-"
BDR,IT,BDR BUILDCON LIMITED,5,"-"
BEACON,ST,BEACON TRUSTEESHIP LIMITED,5,"-"
BESTAGRO,BE,BEST AGROLIFE LIMITED,5,"-"
BFUTILITIE,BZ,BF UTILITIES LIMITED,5,"-"
BGRENERGY,EQ,BGR ENERGY SYSTEMS LIMITED,5,"-"
BHAGYANGR,BE,BHAGYANAGAR INDIA LIMITED,5,"-"
BIKEWO,ST,BIKEWO GREEN TECH LIMITED,5,"-"
BILVYAPAR,BE,BIL VYAPAR LIMITED,5,"GSM STAGE - 0"
BIRDYS,SM,GRILL SPLENDOUR SERVICES LIMITED,5,"-"
BLUECOAST,EQ,BLUE COAST HOTELS LIMITED,5,"GSM STAGE - 0"
BOHRAIND,EQ,BOHRA INDUSTRIES LIMITED,5,"-"
BORANA,BE,BORANA WEAVES LIMITED,5,"-"
BOSS,SM,BOSS PACKAGING SOLUTIONS LIMITED,5,"-"
BULKCORP,SM,BULKCORP INTERNATIONAL LIMITED,5,"-"
CADSYS,SM,CADSYS (INDIA) LIMITED,5,"-"
CAPTRUST,EQ,CAPITAL TRUST LIMITED,5,"-"
CASHIETF,EQ,ICICI PRUDENTIAL MF-ICICI PRUDENTIAL BSE LIQUID RATE ETF-GROWTH,5,"-"
CBAZAAR,ST,NET AVENUE TECHNOLOGIES LIMITED,5,"-"
CCCL,BE,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,5,"-"
CEDAAR,SM,CEDAAR TEXTILE LIMITED,5,"-"
CEREBRAINT,BZ,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,5,"-"
CLCIND,BE,CLC INDUSTRIES LIMITED,5,"-"
CMRSL,SM,CYBER MEDIA RESEARCH & SERVICES LIMITED,5,"-"
COASTCORP,BE,COASTAL CORPORATION LIMITED,5,"-"
COMMITTED,SM,COMMITTED CARGO CARE LIMITED,5,"-"
COMPINFO,BZ,COMPUAGE INFOCOM LIMITED,5,"GSM STAGE - 0"
COMSYN,BE,COMMERCIAL SYN BAGS LIMITED,5,"-"
CONTI,SM,CONTINENTAL SEEDS AND CHEMICALS LIMITED,5,"-"
CPS,ST,C P S SHAPERS LIMITED,5,"-"
CTE,EQ,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,5,"-"
CYBERMEDIA,EQ,CYBER MEDIA (INDIA) LIMITED,5,"-"
DENEERS,SM,DE NEERS TOOLS LIMITED,5,"-"
DESTINY,SM,DESTINY LOGISTICS & INFRA LIMITED,5,"-"
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,5,"-"
DIGJAMLMTD,EQ,DIGJAM LIMITED,5,"-"
DIL,BZ,DEBOCK INDUSTRIES LIMITED,5,"-"
DIRL,SM,DHANUKA INFRA REALTY LIMITED,5,"-"
DIVINEHIRA,ST,DIVINE HIRA JEWELLERS LIMITED,5,"-"
DIVYADHAN,SM,DIVYADHAN RECYCLING INDUSTRIES LIMITED,5,"-"
DRONE,SM,DRONE DESTINATION LIMITED,5,"-"
DRSCARGO,SM,DRS CARGO MOVERS LIMITED,5,"-"
DRSDILIP,SM,DRS DILIP ROADLINES LIMITED,5,"-"
DYNAMIC,SM,DYNAMIC SERVICES & SECURITY LIMITED,5,"-"
EASTSILK,BE,EASTERN SILK INDUSTRIES LIMITED,5,"-"
EFACTOR,ST,E FACTOR EXPERIENCES LIMITED,5,"-"
ELIQUID,EQ,EDELWEISS MUTUAL FUND - EDELWEISS NIFTY 1D RATE LIQUID ETF,5,"-"
EMBDL,BE,EMBASSY DEVELOPMENTS LIMITED,5,"-"
ENERGYDEV,BE,ENERGY DEVELOPMENT COMPANY LIMITED,5,"-"
EPACKPEB,EQ,EPACK PREFAB TECHNOLOGIES LIMITED,5,"-"
EQUIPPP,BE,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,5,"GSM STAGE - 0"
ESCONET,SM,ESCONET TECHNOLOGIES LIMITED,5,"-"
ESFL,SM,ESSEN SPECIALITY FILMS LIMITED,5,"-"
EUROTEXIND,BE,EUROTEX INDUSTRIES AND EXPORTS LIMITED,5,"-"
EXCEL,EQ,EXCEL REALTY N INFRA LIMITED,5,"-"
EXCELLENT,ST,EXCELLENT WIRES AND PACKAGING LIMITED,5,"-"
EXXARO,BE,EXXARO TILES LIMITED,5,"-"
FALCONTECH,SM,FALCON TECHNOPROJECTS INDIA LIMITED,5,"-"
FELDVR,BZ,FUTURE ENTERPRISES LIMITED,5,"GSM STAGE - 0"
FISCHER,EQ,FISCHER MEDICAL VENTURES LIMITED,5,"-"
FLEXITUFF,EQ,FLEXITUFF VENTURES INTERNATIONAL LIMITED,5,"-"
FLFL,BZ,FUTURE LIFESTYLE FASHIONS LIMITED,5,"GSM STAGE - 0"
FLYSBS,SM,FLYSBS AVIATION LIMITED,5,"-"
FMNL,EQ,FUTURE MARKET NETWORKS LIMITED,5,"-"
FOCE,SM,FOCE INDIA LIMITED,5,"-"
FONEBOX,ST,FONEBOX RETAIL LIMITED,5,"-"
FORGEAUTO,SM,FORGE AUTO INTERNATIONAL LIMITED,5,"-"
GANESHIN,SM,GANESH INFRAWORLD LIMITED,5,"-"
GAYAHWS,EQ,GAYATRI HIGHWAYS LIMITED,5,"-"
GCSL,BE,GRETEX CORPORATE SERVICES LIMITED,5,"-"
GICL,ST,GLOBE INTERNATIONAL CARRIERS LIMITED,5,"-"
GILT10BETA,EQ,UTI MUTUAL FUND - UTI NIFTY 10 YR BENCHMARK G-SEC ETF,5,"-"
GILT5BETA,EQ,UTI MUTUAL FUND - UTI NIFTY 5 YR BENCHMARK G-SEC ETF,5,"-"
GILT5YBEES,EQ,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK GSEC,5,"-"
GIRIRAJ,SM,GIRIRAJ CIVIL DEVELOPERS LIMITED,5,"-"
GKENERGY,EQ,GK ENERGY LIMITED,5,"-"
GLFL,BE,GUJARAT LEASE FINANCING LIMITED,5,"GSM STAGE - II"
GLOBAL,BE,GLOBAL EDUCATION LIMITED,5,"-"
GML,ST,GALAXY MEDICARE LIMITED,5,"-"
GOLDENTOBC,BZ,GOLDEN TOBACCO LIMITED,5,"GSM STAGE - 0"
GOLDSTAR,SM,GOLDSTAR POWER LIMITED,5,"-"
GOYALALUM,BE,GOYAL ALUMINIUMS LIMITED,5,"-"
GRAPHISAD,SM,GRAPHISADS LIMITED,5,"-"
GRCL,SM,GAYATRI RUBBERS AND CHEMICALS LIMITED,5,"-"
GRETEX,SM,GRETEX INDUSTRIES LIMITED,5,"-"
GROWWLIQID,EQ,GROWW MUTUAL FUND - GROWW NIFTY 1D RATE LIQUID ETF,5,"-"
GSEC10IETF,EQ,ICICI PRU MUTUAL FUND-ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF,5,"-"
GSEC10YEAR,EQ,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 8-13 YR G-SEC ETF,5,"-"
GSEC5IETF,EQ,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF,5,"-"
GSLSU,BE,GLOBAL SURFACES LIMITED,5,"-"
GUJRAFFIA,BE,GUJARAT RAFFIA INDUSTRIES LIMITED,5,"-"
GURUNANAK,SM,GURUNANAK AGRICULTURE INDIA LIMITED,5,"-"
HALDER,BE,HALDER VENTURE LIMITED,5,"-"
HALEOSLABS,BE,HALEOS LABS LIMITED,5,"-"
HARDWYN,BE,HARDWYN INDIA LIMITED,5,"-"
HBSL,BE,HB STOCKHOLDINGS LIMITED,5,"-"
HDFCLIQUID,EQ,HDFC NIFTY 1D RATE LIQUID ETF - GROWTH,5,"-"
HDIL,BZ,HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED,5,"-"
HITECHGEAR,BE,THE HI-TECH GEARS LIMITED,5,"-"
HMT,BZ,HMT LIMITED,5,"-"
HOACFOODS,ST,HOAC FOODS INDIA LIMITED,5,"-"
HOLMARC,SM,HOLMARC OPTO-MECHATRONICS LIMITED,5,"-"
HOMESFY,SM,HOMESFY REALTY LIMITED,5,"-"
HPTL,SM,HP TELECOM INDIA LIMITED,5,"-"
HRHNEXT,SM,HRH NEXT SERVICES LIMITED,5,"-"
HVAX,SM,HVAX TECHNOLOGIES LIMITED,5,"-"
IBLFL,SM,IBL FINANCE LIMITED,5,"-"
IBULLSLTD,EQ,INDIABULLS LIMITED,5,"-"
IFBAGRO,EQ,IFB AGRO INDUSTRIES LIMITED,5,"-"
IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,5,"GSM STAGE - 0"
IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,5,"GSM STAGE - 0"
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,5,"GSM STAGE - 0"
INDOTHAI,EQ,INDO THAI SECURITIES LIMITED,5,"-"
INFOMEDIA,EQ,INFOMEDIA PRESS LIMITED,5,"GSM STAGE - 0"
INTEGRITY,SM,INTEGRITY INFRABUILD DEVELOPERS LIMITED,5,"-"
ISHAN,SM,ISHAN INTERNATIONAL LIMITED,5,"-"
IWARE,ST,IWARE SUPPLYCHAIN SERVICES LIMITED,5,"-"
JAINAM,SM,JAINAM FERRO ALLOYS (I) LIMITED,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,ST,JALAN TRANSOLUTIONS (INDIA) LIMITED,5,"-"
JETFREIGHT,BE,JET FREIGHT LOGISTICS LIMITED,5,"-"
JETKNIT,ST,JET KNITWEARS LIMITED,5,"-"
JFLLIFE,SM,JFL LIFE SCIENCES LIMITED,5,"-"
JPASSOCIAT,BE,JAIPRAKASH ASSOCIATES LIMITED,5,"-"
JSWHL,EQ,JSW HOLDINGS LIMITED,5,"-"
KALYANI,BE,KALYANI COMMERCIALS LIMITED,5,"-"
KANDARP,SM,KANDARP DIGI SMART BPO LIMITED,5,"-"
KAPSTON,BE,KAPSTON SERVICES LIMITED,5,"-"
KARMAENG,EQ,KARMA ENERGY LIMITED,5,"-"
KARNIKA,ST,KARNIKA INDUSTRIES LIMITED,5,"-"
KAVDEFENCE,EQ,KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED,5,"-"
KDL,ST,KORE DIGITAL LIMITED,5,"-"
KESORAMIND,BE,KESORAM INDUSTRIES LIMITED,5,"-"
KKVAPOW,SM,KKV AGRO POWERS LIMITED,5,"-"
KODYTECH,ST,KODY TECHNOLAB LIMITED,5,"-"
KORE,ST,JAY JALARAM TECHNOLOGIES LIMITED,5,"-"
KRMAYURVED,ST,KRM AYURVEDA LIMITED,5,"-"
KSR,BE,KSR FOOTWEAR LIMITED,5,"-"
LAKPRE,BZ,LAKSHMI PRECISION SCREWS LIMITED,5,"GSM STAGE - 0"
LANCORHOL,BE,LANCOR HOLDINGS LIMITED,5,"-"
LASA,EQ,LASA SUPERGENERICS LIMITED,5,"-"
LCCINFOTEC,BE,LCC INFOTECH LIMITED,5,"GSM STAGE - II"
LICNETFGSC,EQ,LIC MF - LIC MF G-SEC LT ETF - GO,5,"-"
LIQGRWBEES,EQ,NIPPON INDIA MUTUAL FUND-NIPPON INDIA NIFTY 1D RATE LIQUID ETF-GROWTH,5,"-"
LIQUID,EQ,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF,5,"-"
LIQUID1,EQ,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY 1D RATE LIQUID ETF,5,"-"
LIQUIDADD,EQ,DSP BSE LIQUID RATE ETF,5,"-"
LIQUIDBEES,EQ,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES,5,"-"
LIQUIDBETF,EQ,BAJAJ FINSERV NIFTY 1D RATE LIQUID ETF-GROWTH,5,"-"
LIQUIDCASE,EQ,ZERODHA FUND HOUSE - ZERODHA NIFTY 1D RATE LIQUID ETF,5,"-"
LIQUIDETF,EQ,DSP NIFTY 1D RATE LIQUID ETF,5,"-"
LIQUIDIETF,EQ,ICICI PRUDENTIAL BSE LIQUID RATE ETF- IDCW,5,"-"
LIQUIDPLUS,EQ,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 1D RATE LIQUID ETF-GROWTH,5,"-"
LIQUIDSBI,EQ,SBI MUTUAL FUND - SBI NIFTY 1D RATE ETF,5,"-"
LIQUIDSHRI,EQ,SHRIRAM MUTUAL FUND -SHRIRAM NIFTY 1D RATE LIQUID ETF,5,"-"
LOTUSEYE,EQ,LOTUS EYE HOSPITAL AND INSTITUTE LIMITED,5,"-"
LRRPL,SM,LEAD RECLAIM AND RUBBER PRODUCTS LIMITED,5,"-"
LTGILTBEES,EQ,NIPPON INDIA ETF NIFTY 8-13 YR G-SEC LONG TERM GILT,5,"-"
LTGILTCASE,EQ,ZERODHA FUND HOUSE - ZERODHA NIFTY 8-13 YR G-SEC ETF,5,"-"
MAANALU,BE,MAAN ALUMINIUM LIMITED,5,"-"
MADHUCON,EQ,MADHUCON PROJECTS LIMITED,5,"-"
MAGSON,SM,MAGSON RETAIL AND DISTRIBUTION LIMITED,5,"-"
MAKS,SM,MAKS ENERGY SOLUTIONS INDIA LIMITED,5,"-"
MAL,SM,MANGALAM ALLOYS LIMITED,5,"-"
MANAKALUCO,BE,MANAKSIA ALUMINIUM COMPANY LIMITED,5,"-"
MANAKSTEEL,EQ,MANAKSIA STEELS LIMITED,5,"-"
MANAV,SM,MANAV INFRA PROJECTS LIMITED,5,"-"
MANDEEP,SM,MANDEEP AUTO INDUSTRIES LIMITED,5,"-"
MANGALAM,BE,MANGALAM DRUGS AND ORGANICS LIMITED,5,"-"
MANOMAY,BE,MANOMAY TEX INDIA LIMITED,5,"-"
MARINETRAN,ST,MARINETRANS INDIA LIMITED,5,"-"
MASTER,SM,MASTER COMPONENTS LIMITED,5,"-"
MAXVOLT,ST,MAXVOLT ENERGY INDUSTRIES LIMITED,5,"-"
MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LIMITED,5,"-"
MCLOUD,EQ,MAGELLANIC CLOUD LIMITED,5,"-"
MCON,ST,MCON RASAYAN INDIA LIMITED,5,"-"
MEDIORG,SM,MEDICAMEN ORGANICS LIMITED,5,"-"
MEESHO,EQ,MEESHO LIMITED,5,"-"
MEGAFLEX,ST,MEGA FLEX PLASTICS LIMITED,5,"-"
MEGASOFT,BE,MEGASOFT LIMITED,5,"-"
MEGASTAR,BE,MEGASTAR FOODS LIMITED,5,"-"
MHHL,SM,MOHINI HEALTH & HYGIENE LIMITED,5,"-"
MICEL,EQ,MIC ELECTRONICS LIMITED,5,"-"
MILTON,ST,MILTON INDUSTRIES LIMITED,5,"-"
MINDPOOL,SM,MINDPOOL TECHNOLOGIES LIMITED,5,"-"
MIRCELECTR,EQ,MIRC ELECTRONICS LIMITED,5,"-"
MODIRUBBER,EQ,MODI RUBBER LIMITED,5,"-"
MOGSEC,EQ,MOTILAL OSWAL MUTUAL FUND - MOTILAL OSWAL 5 YEAR G SEC ETF - GROWTH,5,"-"
MONOPHARMA,SM,MONO PHARMACARE LIMITED,5,"-"
MORARJEE,BZ,MORARJEE TEXTILES LIMITED,5,"GSM STAGE - 0"
MOXSH,ST,MOXSH OVERSEAS EDUCON LIMITED,5,"-"
MPTODAY,SM,MADHYA PRADESH TODAY MEDIA LIMITED,5,"-"
MTEDUCARE,BE,MT EDUCARE LIMITED,5,"GSM STAGE - 0"
MVKAGRO,SM,M.V.K. AGRO FOOD PRODUCT LIMITED,5,"-"
NACLIND,EQ,NACL INDUSTRIES LIMITED,5,"-"
NAVKARURB,BE,NAVKAR URBANSTRUCTURE LIMITED,5,"-"
NECLIFE,BE,NECTAR LIFESCIENCES LIMITED,5,"-"
NEELAM,SM,NEELAM LINENS AND GARMENTS (INDIA) LIMITED,5,"-"
NEWJAISA,SM,NEWJAISA TECHNOLOGIES LIMITED,5,"-"
NIRMAN,SM,NIRMAN AGRI GENETICS LIMITED,5,"-"
NOIDATOLL,EQ,NOIDA TOLL BRIDGE COMPANY LIMITED,5,"GSM STAGE - 0"
NRVANDANA,ST,N R VANDANA TEX INDUSTRIES LIMITED,5,"-"
NURECA,EQ,NURECA LIMITED,5,"-"
ODIGMA,EQ,ODIGMA CONSULTANCY SOLUTIONS LIMITED,5,"-"
OMKARCHEM,BZ,OMKAR SPECIALITY CHEMICALS LIMITED,5,"GSM STAGE - 0"
ONELIFECAP,BE,ONELIFE CAPITAL ADVISORS LIMITED,5,"-"
ORICONENT,BE,ORICON ENTERPRISES LIMITED,5,"-"
ORTEL,BZ,ORTEL COMMUNICATIONS LIMITED,5,"GSM STAGE - 0"
ORTINGLOBE,BE,ORTIN GLOBAL LIMITED,5,"GSM STAGE - 0"
OSELDEVICE,ST,OSEL DEVICES LIMITED,5,"-"
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,5,"-"
OSWALSEEDS,EQ,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,5,"-"
OWAIS,SM,OWAIS METAL AND MINERAL PROCESSING LIMITED,5,"-"
PALREDTEC,EQ,PALRED TECHNOLOGIES LIMITED,5,"-"
PANACHE,EQ,PANACHE DIGILIFE LIMITED,5,"-"
PANSARI,BE,PANSARI DEVELOPERS LIMITED,5,"-"
PARAMPARA,SM,PARAMPARA DAIRY DELIGHTS LIMITED,5,"-"
PARASPETRO,BE,PARAS PETROFILS LIMITED,5,"-"
PARIN,SM,PARIN ENTERPRISES LIMITED,5,"-"
PATTECH,SM,PATTECH FITWELL TUBE COMPONENTS LIMITED,5,"-"
PERFECT,SZ,PERFECT INFRAENGINEERS LIMITED,5,"GSM STAGE - 0"
PIGL,EQ,POWER & INSTRUMENTATION (GUJARAT) LIMITED,5,"-"
PKTEA,EQ,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED,5,"-"
PLADAINFO,SM,PLADA INFOTECH SERVICES LIMITED,5,"-"
POLYSIL,ST,POLYSIL IRRIGATION SYSTEMS LIMITED,5,"-"
PRAENG,EQ,PRAJAY ENGINEERS SYNDICATE LIMITED,5,"-"
PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,5,"GSM STAGE - 0"
PRAXIS,EQ,PRAXIS HOME RETAIL LIMITED,5,"-"
PRECISION,SM,PRECISION METALIKS LIMITED,5,"-"
PREMIER,BE,PREMIER LIMITED,5,"GSM STAGE - 0"
PROLIFE,SM,PROLIFE INDUSTRIES LIMITED,5,"-"
PROZONER,BE,PROZONE REALTY LIMITED,5,"-"
PRUDMOULI,EQ,PRUDENTIAL SUGAR CORPORATION LIMITED,5,"-"
PSRAJ,ST,P S RAJ STEELS LIMITED,5,"-"
PULZ,SM,PULZ ELECTRONICS LIMITED,5,"-"
PURPLEUTED,SM,PURPLE UNITED SALES LIMITED,5,"-"
QFIL,SM,QUALITY FOILS (INDIA) LIMITED,5,"-"
QUADPRO,SM,QUADPRO ITES LIMITED,5,"-"
QUICKTOUCH,SM,QUICKTOUCH TECHNOLOGIES LIMITED,5,"-"
QVCEL,SM,QVC EXPORTS LIMITED,5,"-"
RAJESHEXPO,BZ,RAJESH EXPORTS LIMITED,5,"-"
RCOM,BE,RELIANCE COMMUNICATIONS LIMITED,5,"-"
RELIABLE,BE,RELIABLE DATA SERVICES LIMITED,5,"-"
RELINFRA,BE,RELIANCE INFRASTRUCTURE LIMITED,5,"-"
REXPIPES,SM,REX PIPES AND CABLES INDUSTRIES LIMITED,5,"-"
REXPRO,SM,REXPRO ENTERPRISES LIMITED,5,"-"
RHFL,BZ,RELIANCE HOME FINANCE LIMITED,5,"-"
RICHA,ST,RICHA INFO SYSTEMS LIMITED,5,"-"
RITEZONE,SM,RITE ZONE CHEMCON INDIA LIMITED,5,"-"
RNPL,ST,RENOL POLYCHEM LIMITED,5,"-"
ROCKINGDCE,ST,ROCKINGDEALS CIRCULAR ECONOMY LIMITED,5,"-"
ROCKPP,X1,ROCKINGDEALS CIRCULAR ECONOMY LIMITED,5,"-"
ROLLT,BE,ROLLATAINERS LIMITED,5,"GSM STAGE - 0"
S&SPOWER,EQ,S&S POWER SWITCHGEARS LIMITED,5,"-"
SABAR,ST,SABAR FLEX INDIA LIMITED,5,"-"
SABTNL,BE,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,5,"-"
SACHEEROME,ST,SACHEEROME LIMITED,5,"-"
SADBHAV,BE,SADBHAV ENGINEERING LIMITED,5,"GSM STAGE - II"
SAIFL,SM,SAMEERA AGRO AND INFRA LIMITED,5,"-"
SALSTEEL,BE,S.A.L. STEEL LIMITED,5,"-"
SAMBHAAV,BE,SAMBHAAV MEDIA LIMITED,5,"-"
SANGANI,SM,SANGANI HOSPITALS LIMITED,5,"-"
SATECH,ST,S A TECH SOFTWARE INDIA LIMITED,5,"-"
SATIPOLY,SM,SATI POLY PLAST LIMITED,5,"-"
SBILIQETF,EQ,SBI MUTUAL FUND - SBI NIFTY 1D RATE LIQUID ETF - GROWTH,5,"-"
SCML,SM,SHARP CHUCKS AND MACHINES LIMITED,5,"-"
SECURKLOUD,BE,SECUREKLOUD TECHNOLOGIES LIMITED,5,"GSM STAGE - 0"
SEJALLTD,EQ,SEJAL GLASS LIMITED,5,"-"
SELMC,BE,SEL MANUFACTURING COMPANY LIMITED,5,"-"
SETCO,EQ,SETCO AUTOMOTIVE LIMITED,5,"-"
SETF10GILT,EQ,SBI MUTUAL FUND - SBI-ETF 10 YEAR GILT,5,"-"
SETUINFRA,BZ,SETUBANDHAN INFRASTRUCTURE LIMITED,5,"GSM STAGE - 0"
SEYAIND,BE,SEYA INDUSTRIES LIMITED,5,"-"
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,5,"-"
SHAIVAL,ST,SHAIVAL REALITY LIMITED,5,"-"
SHANTHALA,ST,SHANTHALA FMCG PRODUCTS LIMITED,5,"-"
SHEETAL,ST,SHEETAL UNIVERSAL LIMITED,5,"-"
SHRENIK,BZ,SHRENIK LIMITED,5,"GSM STAGE - 0"
SHRIKANHA,SM,SHRI KANHA STAINLESS LIMITED,5,"-"
SHUBHLAXMI,ST,SHUBHLAXMI JEWEL ART LIMITED,5,"-"
SHYAMCENT,BE,SHYAM CENTURY FERROUS LIMITED,5,"-"
SICALLOG,BE,SICAL LOGISTICS LIMITED,5,"-"
