Symbol,Series,Security Name,Band,Remarks
TATAPOWER,EQ,TATA POWER COMPANY LIMITED,No Band,-
TATASTEEL,EQ,TATA STEEL LIMITED,No Band,-
TCS,EQ,TATA CONSULTANCY SERVICES LIMITED,No Band,-
TMPV,EQ,TATA MOTORS PASSENGER VEHICLES LIMITED,No Band,-
UNIONBANK,EQ,UNION BANK OF INDIA,No Band,-
VBL,EQ,VARUN BEVERAGES LIMITED,No Band,-
VEDL,EQ,VEDANTA LIMITED,No Band,-
WIPRO,EQ,WIPRO LIMITED,No Band,-
YESBANK,EQ,YES BANK LIMITED,No Band,-
BAJAJHFL,EQ,BAJAJ HOUSING FINANCE LIMITED,10,-
HYUNDAI,EQ,HYUNDAI MOTOR INDIA LIMITED,10,-
ACC,EQ,ACC LIMITED,20,-
ATGL,EQ,ADANI TOTAL GAS LIMITED,20,-
BHARTIHEXA,EQ,BHARTI HEXACOM LIMITED,20,-
COCHINSHIP,EQ,COCHIN SHIPYARD LIMITED,20,-
COROMANDEL,EQ,COROMANDEL INTERNATIONAL LIMITED,20,-
ENRIN,EQ,SIEMENS ENERGY INDIA LIMITED,20,-
GODFRYPHLP,EQ,GODFREY PHILLIPS INDIA LIMITED,20,-
IGL,EQ,INDRAPRASTHA GAS LIMITED,20,-
IRB,EQ,IRB INFRASTRUCTURE DEVELOPERS LIMITED,20,-
ITCHOTELS,EQ,ITC HOTELS LIMITED,20,-
M&MFIN,EQ,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,20,-
MOTILALOFS,EQ,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,20,-
MRF,EQ,MRF LIMITED,20,-
NTPCGREEN,EQ,NTPC GREEN ENERGY LIMITED,20,-
TATACOMM,EQ,TATA COMMUNICATIONS LIMITED,20,-
360ONE,EQ,360 ONE WAM LIMITED,No Band,-
ABB,EQ,ABB INDIA LIMITED,No Band,-
ADANIENSOL,EQ,ADANI ENERGY SOLUTIONS LIMITED,No Band,-
ADANIENT,EQ,ADANI ENTERPRISES LIMITED,No Band,-
ADANIGREEN,EQ,ADANI GREEN ENERGY LIMITED,No Band,-
ALKEM,EQ,ALKEM LABORATORIES LIMITED,No Band,-
AMBUJACEM,EQ,AMBUJA CEMENTS LIMITED,No Band,-
APLAPOLLO,EQ,APL APOLLO TUBES LIMITED,No Band,-
APOLLOHOSP,EQ,APOLLO HOSPITALS ENTERPRISE LIMITED,No Band,-
ASIANPAINT,EQ,ASIAN PAINTS LIMITED,No Band,-
ASTRAL,EQ,ASTRAL LIMITED,No Band,-
AUBANK,EQ,AU SMALL FINANCE BANK LIMITED,No Band,-
AUROPHARMA,EQ,AUROBINDO PHARMA LIMITED,No Band,-
BAJAJ-AUTO,EQ,BAJAJ AUTO LIMITED,No Band,-
BAJAJFINSV,EQ,BAJAJ FINSERV LIMITED,No Band,-
BAJAJHLDNG,EQ,BAJAJ HOLDINGS & INVESTMENT LIMITED,No Band,-
BDL,EQ,BHARAT DYNAMICS LIMITED,No Band,-
BHARATFORG,EQ,BHARAT FORGE LIMITED,No Band,-
BIOCON,EQ,BIOCON LIMITED,No Band,-
BLUESTARCO,EQ,BLUE STAR LIMITED,No Band,-
BOSCHLTD,EQ,BOSCH LIMITED,No Band,-	
BRITANNIA,EQ,BRITANNIA INDUSTRIES LIMITED,No Band,-
CHOLAFIN,EQ,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,No Band,-
CIPLA,EQ,CIPLA LIMITED,No Band,-
COFORGE,EQ,COFORGE LIMITED,No Band,-
COLPAL,EQ,COLGATE PALMOLIVE (INDIA) LIMITED,No Band,-
CONCOR,EQ,CONTAINER CORPORATION OF INDIA LIMITED,No Band,-
CUMMINSIND,EQ,CUMMINS INDIA LIMITED,No Band,-
DABUR,EQ,DABUR INDIA LIMITED,No Band,-
DIVISLAB,EQ,DIVI'S LABORATORIES LIMITED,No Band,-
DIXON,EQ,DIXON TECHNOLOGIES (INDIA) LIMITED,No Band,-
DLF,EQ,DLF LIMITED,No Band,-
DMART,EQ,AVENUE SUPERMARTS LIMITED,No Band,-
DRREDDY,EQ,DR. REDDY'S LABORATORIES LIMITED,No Band,-
EICHERMOT,EQ,EICHER MOTORS LIMITED,No Band,-
FEDERALBNK,EQ,THE FEDERAL BANK  LIMITED,No Band,-
FORTIS,EQ,FORTIS HEALTHCARE LIMITED,No Band,-
GLENMARK,EQ,GLENMARK PHARMACEUTICALS LIMITED,No Band,-
GODREJCP,EQ,GODREJ CONSUMER PRODUCTS LIMITED,No Band,-
GODREJPROP,EQ,GODREJ PROPERTIES LIMITED,No Band,-
GRASIM,EQ,GRASIM INDUSTRIES LIMITED,No Band,-
HAL,EQ,HINDUSTAN AERONAUTICS LIMITED,No Band,-
HAVELLS,EQ,HAVELLS INDIA LIMITED,No Band,-
HCLTECH,EQ,HCL TECHNOLOGIES LIMITED,No Band,-
HDFCAMC,EQ,HDFC ASSET MANAGEMENT COMPANY LIMITED,No Band,-
HEROMOTOCO,EQ,HERO MOTOCORP LIMITED,No Band,-
HINDUNILVR,EQ,HINDUSTAN UNILEVER LIMITED,No Band,-
ICICIGI,EQ,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,No Band,-
IDEA,EQ,VODAFONE IDEA LIMITED,No Band,-
INDHOTEL,EQ,THE INDIAN HOTELS COMPANY LIMITED,No Band,-
INDIANB,EQ,INDIAN BANK,No Band,-
INDIGO,EQ,INTERGLOBE AVIATION LIMITED,No Band,-
INDUSINDBK,EQ,INDUSIND BANK LIMITED,No Band,-
IRCTC,EQ,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,No Band,-
JINDALSTEL,EQ,JINDAL STEEL LIMITED,No Band,-
JSWENERGY,EQ,JSW ENERGY LIMITED,No Band,-
JSWSTEEL,EQ,JSW STEEL LIMITED,No Band,-
JUBLFOOD,EQ,JUBILANT FOODWORKS LIMITED,No Band,-
KALYANKJIL,EQ,KALYAN JEWELLERS INDIA LIMITED,No Band,-
KEI,EQ,KEI INDUSTRIES LIMITED,No Band,-
KPITTECH,EQ,KPIT TECHNOLOGIES LIMITED,No Band,-
LICHSGFIN,EQ,LIC HOUSING FINANCE LIMITED,No Band,-
LICI,EQ,LIFE INSURANCE CORPORATION OF INDIA,No Band,-
LT,EQ,LARSEN & TOUBRO LIMITED,No Band,-
LTF,EQ,L&T FINANCE LIMITED,No Band,-
LTIM,EQ,LTIMINDTREE LIMITED,No Band,-
LUPIN,EQ,LUPIN LIMITED,No Band,-
M&M,EQ,MAHINDRA & MAHINDRA LIMITED,No Band,-
MANKIND,EQ,MANKIND PHARMA LIMITED,No Band,-
MARICO,EQ,MARICO LIMITED,No Band,-
MARUTI,EQ,MARUTI SUZUKI INDIA LIMITED,No Band,-
MAXHEALTH,EQ,MAX HEALTHCARE INSTITUTE LIMITED,No Band,-
MAZDOCK,EQ,MAZAGON DOCK SHIPBUILDERS LIMITED,No Band,-
MFSL,EQ,MAX FINANCIAL SERVICES LIMITED,No Band,-
MPHASIS,EQ,MPHASIS LIMITED,No Band,-
MUTHOOTFIN,EQ,MUTHOOT FINANCE LIMITED,No Band,-
NAUKRI,EQ,INFO EDGE (INDIA) LIMITED,No Band,-
NESTLEIND,EQ,NESTLE INDIA LIMITED,No Band,-
OBEROIRLTY,EQ,OBEROI REALTY LIMITED,No Band,-
OFSS,EQ,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,No Band,-
PAGEIND,EQ,PAGE INDUSTRIES LIMITED,No Band,-
PATANJALI,EQ,PATANJALI FOODS LIMITED,No Band,-
PERSISTENT,EQ,PERSISTENT SYSTEMS LIMITED,No Band,-
PHOENIXLTD,EQ,THE PHOENIX MILLS LIMITED,No Band,-
